match_id,set_number,team_a_points,team_b_points
fivb_vis:9173,5,9,15
fivb_vis:9174,1,16,25
fivb_vis:9174,2,9,25
fivb_vis:9174,3,8,25
fivb_vis:9175,1,25,21
fivb_vis:9175,2,34,32
fivb_vis:9175,3,25,18
fivb_vis:9176,1,25,22
fivb_vis:9176,2,25,15
fivb_vis:9176,3,25,19
fivb_vis:9177,1,25,16
fivb_vis:9177,2,26,24
fivb_vis:9177,3,25,18
fivb_vis:9178,1,25,20
fivb_vis:9178,2,25,22
fivb_vis:9178,3,25,15
fivb_vis:9179,1,15,25
fivb_vis:9179,2,15,25
fivb_vis:9179,3,15,25
fivb_vis:9180,1,25,21
fivb_vis:9180,2,25,18
fivb_vis:9180,3,25,19
fivb_vis:9181,1,25,11
fivb_vis:9181,2,25,18
fivb_vis:9181,3,25,20
fivb_vis:9182,1,25,21
fivb_vis:9182,2,25,21
fivb_vis:9182,3,25,22
fivb_vis:9183,1,17,25
fivb_vis:9183,2,23,25
fivb_vis:9183,3,12,25
fivb_vis:9184,1,17,25
fivb_vis:9184,2,17,25
fivb_vis:9184,3,25,23
fivb_vis:9184,4,11,25
fivb_vis:9185,1,25,21
fivb_vis:9185,2,25,21
fivb_vis:9185,3,25,13
fivb_vis:9186,1,19,25
fivb_vis:9186,2,25,21
fivb_vis:9186,3,25,21
fivb_vis:9186,4,25,18
fivb_vis:9187,1,17,25
fivb_vis:9187,2,17,25
fivb_vis:9187,3,22,25
fivb_vis:9188,1,19,25
fivb_vis:9188,2,21,25
fivb_vis:9188,3,12,25
fivb_vis:9189,1,29,27
fivb_vis:9189,2,25,16
fivb_vis:9189,3,25,17
fivb_vis:9190,1,22,25
fivb_vis:9190,2,17,25
fivb_vis:9190,3,20,25
fivb_vis:9191,1,19,25
fivb_vis:9191,2,17,25
fivb_vis:9191,3,22,25
fivb_vis:9192,1,16,25
fivb_vis:9192,2,25,13
fivb_vis:9192,3,25,18
fivb_vis:9192,4,25,20
fivb_vis:9193,1,23,25
fivb_vis:9193,2,20,25
fivb_vis:9193,3,15,25
fivb_vis:9194,1,18,25
fivb_vis:9194,2,16,25
fivb_vis:9194,3,13,25
fivb_vis:9195,1,25,19
fivb_vis:9195,2,25,20
fivb_vis:9195,3,25,11
fivb_vis:9196,1,22,25
fivb_vis:9196,2,25,22
fivb_vis:9196,3,25,14
fivb_vis:9196,4,25,17
fivb_vis:9197,1,25,17
fivb_vis:9197,2,25,16
fivb_vis:9197,3,23,25
fivb_vis:9197,4,21,25
fivb_vis:9197,5,15,11
fivb_vis:9198,1,13,25
fivb_vis:9198,2,10,25
fivb_vis:9198,3,16,25
fivb_vis:9199,1,25,19
fivb_vis:9199,2,25,14
fivb_vis:9199,3,25,16
fivb_vis:9200,1,23,25
fivb_vis:9200,2,27,25
fivb_vis:9200,3,25,21
fivb_vis:9200,4,25,21
fivb_vis:9201,1,24,26
fivb_vis:9201,2,16,25
fivb_vis:9201,3,23,25
fivb_vis:9202,1,25,23
fivb_vis:9202,2,25,17
fivb_vis:9202,3,27,25
fivb_vis:9203,1,22,25
fivb_vis:9203,2,20,25
fivb_vis:9203,3,12,25
fivb_vis:9204,1,15,25
fivb_vis:9204,2,14,25
fivb_vis:9204,3,25,23
fivb_vis:9204,4,7,25
fivb_vis:9205,1,25,22
fivb_vis:9205,2,15,25
fivb_vis:9205,3,25,19
fivb_vis:9205,4,25,17
fivb_vis:9206,1,25,5
fivb_vis:9206,2,25,7
fivb_vis:9206,3,25,15
fivb_vis:9207,1,25,27
fivb_vis:9207,2,20,25
fivb_vis:9207,3,24,26
fivb_vis:9208,1,20,25
fivb_vis:9208,2,26,24
fivb_vis:9208,3,25,16
fivb_vis:9208,4,25,20
fivb_vis:9209,1,25,19
fivb_vis:9209,2,20,25
fivb_vis:9209,3,24,26
fivb_vis:9209,4,25,12
fivb_vis:9209,5,11,15
fivb_vis:9210,1,25,11
fivb_vis:9210,2,25,20
